event_id,observation_timestamp,expiry_date,option_parent,asset,instrument_id,symbol,raw_symbol,option_type,strike,futures_mid,moneyness_distance,underlying_id,underlying_symbol,security_type,instrument_class,status
2022-02-16_2022-02-18,2022-02-16T00:00:00+00:00,2022-02-18,3EU.OPT,3EU,661605,3EUG2 P1137,3EUG2 P1137,P,1.1375,1.1361750000000002,0.0013249999999997986,28727,6EH2,OOF,P,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:00:00+00:00,2022-02-18,3EU.OPT,3EU,53979,3EUG2 C1137,3EUG2 C1137,C,1.1375,1.1361750000000002,0.0013249999999997986,28727,6EH2,OOF,C,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:00:00+00:00,2022-02-18,3EU.OPT,3EU,383140,3EUG2 C1135,3EUG2 C1135,C,1.135,1.1361750000000002,0.0011750000000001481,28727,6EH2,OOF,C,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:00:00+00:00,2022-02-18,3EU.OPT,3EU,312802,3EUG2 P1135,3EUG2 P1135,P,1.135,1.1361750000000002,0.0011750000000001481,28727,6EH2,OOF,P,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:15:00+00:00,2022-02-18,3EU.OPT,3EU,661605,3EUG2 P1137,3EUG2 P1137,P,1.1375,1.1363750000000001,0.0011249999999998206,28727,6EH2,OOF,P,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:15:00+00:00,2022-02-18,3EU.OPT,3EU,53979,3EUG2 C1137,3EUG2 C1137,C,1.1375,1.1363750000000001,0.0011249999999998206,28727,6EH2,OOF,C,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:15:00+00:00,2022-02-18,3EU.OPT,3EU,383140,3EUG2 C1135,3EUG2 C1135,C,1.135,1.1363750000000001,0.0013750000000001261,28727,6EH2,OOF,C,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:15:00+00:00,2022-02-18,3EU.OPT,3EU,312802,3EUG2 P1135,3EUG2 P1135,P,1.135,1.1363750000000001,0.0013750000000001261,28727,6EH2,OOF,P,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:30:00+00:00,2022-02-18,3EU.OPT,3EU,661605,3EUG2 P1137,3EUG2 P1137,P,1.1375,1.13625,0.0012499999999999734,28727,6EH2,OOF,P,QUALIFIED
2022-02-16_2022-02-18,2022-02-16T00:30:00+00:00,2022-02-18,3EU.OPT,3EU,53979,3EUG2 C1137,3EUG2 C1137,C,1.1375,1.13625,0.0012499999999999734,28727,6EH2,OOF,C,QUALIFIED
